STA_SEQ,NAME,YLAT,XLONG,SDATE,SYEAR,BCG,YCNT,MINYEAR,MAXYEAR
14602,Merrick Brook,41.661,-72.1101,1999-10-07,1999,2.045454545,4,1999,2014
14277,Little River,41.6393,-72.0582,1999-10-07,1999,3,5,1993,2014
14278,Little River,41.6158,-72.0416,1999-10-07,1999,5,8,1993,2015
14188,Eightmile River,41.588,-72.8977,1999-10-12,1999,4,10,1993,2003
14605,Eightmile River,41.5908,-72.9009,1999-10-12,1999,3,13,1999,2018
14214,Furnace Brook,41.9841,-72.2947,1999-10-13,1999,4.5,4,1999,2010
14584,Roaring Brook,41.904,-72.2891,1999-10-13,1999,2.6,10,1999,2017
14581,Willimantic River,41.9423,-72.3058,1999-10-13,1999,5.25,13,1999,2019
14580,Willimantic River,41.9505,-72.3037,1999-10-13,1999,5.75,9,1999,2019
14583,Middle River,41.9525,-72.3039,1999-10-13,1999,5,8,1999,2014
14606,Middle River,41.9659,-72.3278,1999-10-13,1999,3,3,1999,2014
14592,Fenton River,41.7925,-72.21,1999-10-14,1999,2.5,3,1999,2014
14492,Willimantic River,41.8326,-72.3079,1999-10-14,1999,3,5,1989,2014
14582,Willimantic River,41.7623,-72.2691,1999-10-14,1999,4,3,1999,2014
14588,Bungee Brook,41.8957,-72.0714,1999-10-19,1999,2.777777778,3,1999,2014
14589,Still River,41.8716,-72.0877,1999-10-19,1999,2,3,1999,2014
14590,Bigelow Brook,41.8671,-72.0921,1999-10-19,1999,2,3,1999,2009
14593,Whetstone Brook,41.831633,-71.878097,1999-10-22,1999,3.5,3,1999,2014
14599,Mashamoquet Brook,41.8499,-71.9359,1999-10-22,1999,2.094594595,4,1999,2014
14600,Blackwell Brook,41.7407,-71.9488,1999-10-22,1999,3,2,1999,2009
14595,Quanduck Brook,41.721906,-71.836053,1999-10-25,1999,3,3,1999,2014
14294,Mill Brook,41.6643,-71.9198,1999-10-25,1999,5,1,1999,1999
14314,Natchaug River,41.8008,-72.1182,1999-10-26,1999,3,19,1989,2017
14587,Tenmile River,41.6937,-72.2632,1999-10-26,1999,3,3,1999,2014
14586,Hop River,41.7212,-72.2548,1999-10-26,1999,3,3,1999,2014
14591,Mount Hope River,41.7971,-72.1716,1999-10-26,1999,3,6,1999,2014
14609,Quinebaug River,41.9081,-71.9096,1999-10-27,1999,4.5,4,1999,2014
14206,French River,41.9548,-71.884,1999-10-27,1999,4.5,7,1995,2014
14410,Quinebaug River,42.022,-71.9528,1999-10-27,1999,3,9,1995,2018
14598,Quinebaug River,41.6022,-71.9868,1999-10-28,1999,5,5,1999,2014
14451,Shetucket River,41.7002,-72.1823,1999-10-28,1999,4,7,1999,2018
14594,Moosup River,41.7148,-71.8931,1999-10-28,1999,3,4,1999,2014
14205,Fivemile River,41.8451,-71.8912,1999-10-28,1999,4,1,1999,1999
14276,Little River,41.928,-71.9315,1999-11-01,1999,3,1,1999,1999
14305,Muddy Brook,42.0147,-72.0017,1999-11-01,1999,5,5,1999,2014
14444,Saugatuck River,41.2945,-73.3948,1999-11-02,1999,4.25,23,1991,2018
14450,Shepaug River,41.5489,-73.3308,1999-11-02,1999,3,26,1991,2018
14441,Salmon River,41.5742,-72.4294,1999-11-08,1999,2,24,1991,2018
14442,Sandy Brook,41.974,-73.0406,1999-11-09,1999,2,25,1993,2018
14520,Factory Brook,41.9751,-73.4212,1999-11-09,1999,5,4,1999,2016
14521,Factory Brook,41.9668,-73.4277,1999-11-09,1999,4,1,1999,1999
14332,Naugatuck River,41.5002,-73.0503,1999-11-10,1999,5.25,9,1997,2018
14329,Naugatuck River,41.5304,-73.0402,1999-11-10,1999,5,7,1997,2004
14314,Natchaug River,41.8008,-72.1182,2000-10-02,2000,3,19,1989,2017
14584,Roaring Brook,41.904,-72.2891,2000-10-03,2000,2.5,10,1999,2017
14581,Willimantic River,41.9423,-72.3058,2000-10-03,2000,5.25,13,1999,2019
14580,Willimantic River,41.9505,-72.3037,2000-10-03,2000,5,9,1999,2019
14708,Middle River,41.9519,-72.3084,2000-10-03,2000,4,1,2000,2000
14583,Middle River,41.9525,-72.3039,2000-10-03,2000,5,8,1999,2014
14712,Transylvania Brook,41.484,-73.2584,2000-10-04,2000,4.5,2,2000,2016
14711,Transylvania Brook,41.484262,-73.258547,2000-10-04,2000,4.368686869,3,2000,2020
